INDICATOR_NAME,PERIOD_YEAR,count,type
% of Completed Trips - NYCT Bus,2008,99.3,TARGET
% of Completed Trips - NYCT Bus,2008,99.27833333,ACTUAL
% of Completed Trips - NYCT Bus,2009,99.4,TARGET
% of Completed Trips - NYCT Bus,2009,99.16416667,ACTUAL
% of Completed Trips - NYCT Bus,2010,99.4,TARGET
% of Completed Trips - NYCT Bus,2010,98.4175,ACTUAL
% of Completed Trips - NYCT Bus,2011,99.36,TARGET
% of Completed Trips - NYCT Bus,2011,97.93666667,ACTUAL
% of Completed Trips - NYCT Bus,2012,99.36,TARGET
% of Completed Trips - NYCT Bus,2012,98.72666667,ACTUAL
% of Completed Trips - NYCT Bus,2013,99.36,TARGET
% of Completed Trips - NYCT Bus,2013,99.26583333,ACTUAL
% of Completed Trips - NYCT Bus,2014,99.36,TARGET
% of Completed Trips - NYCT Bus,2014,98.89083333,ACTUAL
% of Completed Trips - NYCT Bus,2015,99.36,TARGET
% of Completed Trips - NYCT Bus,2015,98.58333333,ACTUAL
% of Completed Trips - NYCT Bus,2016,99.36,TARGET
% of Completed Trips - NYCT Bus,2016,98.81666667,ACTUAL
% of Completed Trips - NYCT Bus,2017,99.36,TARGET
% of Completed Trips - NYCT Bus,2017,99.11625,ACTUAL
