INDICATOR_SEQ,INDICATOR_NAME,PERIOD_YEAR,count,type
28345,Hudson Line - OTP  ,2008,98,target
28345,Hudson Line - OTP  ,2008,98.11666667,actual
28345,Hudson Line - OTP  ,2009,97.9,target
28345,Hudson Line - OTP  ,2009,97.825,actual
28345,Hudson Line - OTP  ,2010,98.1,target
28345,Hudson Line - OTP  ,2010,98.25833333,actual
28345,Hudson Line - OTP  ,2011,98.2,target
28345,Hudson Line - OTP  ,2011,97.925,actual
28345,Hudson Line - OTP  ,2012,98.2,target
28345,Hudson Line - OTP  ,2012,98.46666667,actual
28345,Hudson Line - OTP  ,2013,98.2,target
28345,Hudson Line - OTP  ,2013,97.7,actual
28345,Hudson Line - OTP  ,2014,94,target
28345,Hudson Line - OTP  ,2014,91.48333333,actual
28345,Hudson Line - OTP  ,2015,93,target
28345,Hudson Line - OTP  ,2015,93.73333333,actual
28345,Hudson Line - OTP  ,2016,93,target
28345,Hudson Line - OTP  ,2016,95.25833333,actual
28345,Hudson Line - OTP  ,2017,93,target
28345,Hudson Line - OTP  ,2017,95.82222222,actual
28346,Harlem Line - OTP  ,2008,98,target
28346,Harlem Line - OTP  ,2008,98.53333333,actual
28346,Harlem Line - OTP  ,2009,98.2,target
28346,Harlem Line - OTP  ,2009,98.525,actual
28346,Harlem Line - OTP  ,2010,98.3,target
28346,Harlem Line - OTP  ,2010,98.70833333,actual
28346,Harlem Line - OTP  ,2011,98.3,target
28346,Harlem Line - OTP  ,2011,97.61666667,actual
28346,Harlem Line - OTP  ,2012,98.3,target
28346,Harlem Line - OTP  ,2012,98.5,actual
28346,Harlem Line - OTP  ,2013,98.3,target
28346,Harlem Line - OTP  ,2013,97.35833333,actual
28346,Harlem Line - OTP  ,2014,94,target
28346,Harlem Line - OTP  ,2014,93.23333333,actual
28346,Harlem Line - OTP  ,2015,93,target
28346,Harlem Line - OTP  ,2015,93.08333333,actual
28346,Harlem Line - OTP  ,2016,93,target
28346,Harlem Line - OTP  ,2016,94.875,actual
28346,Harlem Line - OTP  ,2017,93,target
28346,Harlem Line - OTP  ,2017,95.87777778,actual
28347,New Haven Line - OTP,2008,97.1,target
28347,New Haven Line - OTP,2008,97.64166667,actual
28347,New Haven Line - OTP,2009,97,target
28347,New Haven Line - OTP,2009,96.725,actual
28347,New Haven Line - OTP,2010,97,target
28347,New Haven Line - OTP,2010,97.2,actual
28347,New Haven Line - OTP,2011,97.2,target
28347,New Haven Line - OTP,2011,93.86666667,actual
28347,New Haven Line - OTP,2012,97.2,target
28347,New Haven Line - OTP,2012,97.70833333,actual
28347,New Haven Line - OTP,2013,97.2,target
28347,New Haven Line - OTP,2013,94.75833333,actual
28347,New Haven Line - OTP,2014,92,target
28347,New Haven Line - OTP,2014,88.475,actual
28347,New Haven Line - OTP,2015,93,target
