INDICATOR_NAME,PERIOD_YEAR,count,type
Hudson Line - OTP  ,2008,98,target
Hudson Line - OTP  ,2008,98.11666667,actual
Hudson Line - OTP  ,2009,97.9,target
Hudson Line - OTP  ,2009,97.825,actual
Hudson Line - OTP  ,2010,98.1,target
Hudson Line - OTP  ,2010,98.25833333,actual
Hudson Line - OTP  ,2011,98.2,target
Hudson Line - OTP  ,2011,97.925,actual
Hudson Line - OTP  ,2012,98.2,target
Hudson Line - OTP  ,2012,98.46666667,actual
Hudson Line - OTP  ,2013,98.2,target
Hudson Line - OTP  ,2013,97.7,actual
Hudson Line - OTP  ,2014,94,target
Hudson Line - OTP  ,2014,91.48333333,actual
Hudson Line - OTP  ,2015,93,target
Hudson Line - OTP  ,2015,93.73333333,actual
Hudson Line - OTP  ,2016,93,target
Hudson Line - OTP  ,2016,95.25833333,actual
Hudson Line - OTP  ,2017,93,target
Hudson Line - OTP  ,2017,95.82222222,actual
